Nombrebeca,Institucion,Aniobecariosconfirmados,Departamento,Carrera,Modalidad,Estrato Socioeconomico,Migracion
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,FF.AA.,Variable,Lima - Sin migración
Beca 18,Universidad Nacional de Ingeniería,2025,Lima,Todas las carreras elegibles,Repared,Víctimas de violencia,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,FF.AA.,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Mayor de San Marcos,2025,Lima,Todas las carreras elegibles,Repared,Víctimas de violencia,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
